id,content_length,out_degree,in_degree
10 Years band,2360,10,0
10cc,4210,19,4
311 band,3412,14,0
38 Special band,2224,13,0
3 Doors Down,3063,11,15
ABBA,11922,7,12
ACDC,6301,27,0
AFI band,2869,11,0
A Perfect Circle,4022,14,10
Accept band,2519,13,0
Adam Ant,4754,11,6
Aerosmith,9191,32,50
Air Supply,1422,3,3
Alanis Morissette,5064,15,14
Alice Cooper,9055,41,60
Alice Cooper band,2134,23,0
Alice in Chains,7971,56,53
AllMusic,476,2,366
Alter Bridge,3560,18,12
Ambrosia band,1685,8,0
America band,4415,14,0
Anthrax American band,4007,24,0
April Wine,1713,11,2
Arcade Fire,5427,7,12
Arctic Monkeys,5709,24,14
Asia band,3707,7,0
Audioslave,97,14,12
Avenged Sevenfold,4584,33,26
Avril Lavigne,6658,29,13
Awolnation,2631,11,1
BachmanTurner Overdrive,4191,14,0
Bad Company,2304,12,15
Badfinger,5597,15,6
Barenaked Ladies,3473,12,7
Bay City Rollers,5484,6,1
Beastie Boys,5710,11,23
Beck,3937,22,21
Bee Gees,8886,22,21
Ben Folds Five,1288,3,0
Bill Haley  His Comets,4765,4,0
Billy Idol,3072,15,11
Billy Joel,8658,20,25
Billy Squier,2337,11,4
Billy Talent,2379,16,4
Black Sabbath,9227,41,75
Black Stone Cherry,1239,12,4
Black Veil Brides,3848,20,4
Blink-182,5183,22,25
Blondie band,3960,18,0
Bloodhound Gang,2231,2,2
Blue October,3955,9,0
Blue Öyster Cult,4745,25,12
Blues Traveler,2192,5,7
Blur band,3779,11,0
Bo Diddley,3386,17,17
Bob Dylan,13052,33,96
Bob Seger,2434,17,21
Bon Jovi,5862,10,27
Boston band,2877,8,0
Bowling for Soup,5287,13,3
Boys Like Girls,2392,13,6
Bread band,1328,4,0
Breaking Benjamin,7400,27,21
Bring Me the Horizon,5291,13,7
Bruce Springsteen,9109,18,64
Bryan Adams,8006,45,18
Bryan Ferry,4008,9,6
Buckcherry,1773,13,8
Buddy Holly,6583,20,32
Bullet for My Valentine,3844,23,13
Bush British band,2600,24,0
Cage the Elephant,3246,10,3
Cake band,3645,8,0
Canned Heat,4974,15,6
Catfish and the Bottlemen,2572,5,2
Charlie Daniels,1444,5,5
Cheap Trick,1889,10,31
Chevelle band,2035,11,0
Chicago band,5948,18,0
Chris Cornell,8270,29,17
Chris Rea,2041,9,1
Chris de Burgh,1665,5,0
Christopher Cross,1627,8,4
Chubby Checker,2898,6,4
Chuck Berry,3914,17,45
Cinderella band,1431,10,0
City and Colour,2678,4,0
Coheed and Cambria,4013,13,3
Cold Chisel,2200,12,6
Coldplay,9359,27,25
Collective Soul,2544,10,7
Counting Crows,3546,12,12
Crash Test Dummies,2180,0,1
Cream band,2423,12,0
Creed band,3683,14,0
Creedence Clearwater Revival,4722,12,15
Crosby Stills Nash  Young,6420,17,0
Crowded House,3282,9,7
Damn Yankees band,828,6,0
Dan Fogelberg,1095,5,4
Dashboard Confessional,2200,19,8
Daughtry band,3513,17,0
Dave Matthews Band,5320,10,10
David Bowie,13456,22,85
Days of the New,2057,8,2
Death Cab for Cutie,3683,4,5
Deep Purple,6943,56,52
Def Leppard,6354,41,41
Deftones,4286,20,33
Depeche Mode,6845,29,26
Dio band,2222,11,0
Dire Straits,5031,11,12
Disturbed band,4289,23,0
Don Henley,3147,19,15
Donovan,4379,20,12
Dr. Hook,2017,1,1
Dropkick Murphys,7996,6,6
Drowning Pool,1761,18,5
Duane Eddy,3685,9,7
Duran Duran,7590,28,18
Eagles band,7147,16,0
Echo  the Bunnymen,3747,7,0
Eddie Cochran,2473,26,15
Eddie Money,858,5,4
Edgar Winter,1265,4,4
Electric Light Orchestra,3652,15,14
Elton John,9911,26,69
Elvis Costello,8366,35,36
Elvis Presley,10040,7,72
Emerson Lake  Palmer,3434,3,0
England Dan  John Ford Coley,833,4,0
Eric Clapton,9449,34,53
Europe band,2384,13,0
Evanescence,5786,20,14
Everclear band,1679,15,0
Everlast,1409,12,0
Extreme band,2263,5,0
Faces band,3824,7,0
Faith No More,3825,19,28
Fall Out Boy,6291,20,19
Fats Domino,2486,16,15
Filter band,3246,14,0
Finger Eleven,1936,13,12
FireHouse,844,5,0
Five Finger Death Punch,3364,15,15
Five for Fighting,3598,9,2
Fleetwood Mac,8363,20,32
Flogging Molly,1261,7,2
Florence and the Machine,4180,9,3
Flyleaf band,2383,9,0
Foals band,3163,9,0
Foo Fighters,4760,16,50
Foreigner band,6055,11,0
Foster the People,3920,3,1
Frank Zappa,6860,20,33
Franz Ferdinand band,3549,11,0
Fuel band,3512,6,0
Fun band,1483,3,0
Funkadelic,1442,4,6
Garbage band,4960,11,0
Gary Glitter,4223,9,4
Gene Vincent,3040,11,7
Genesis band,9023,13,0
George Harrison,9771,26,37
George Thorogood,1308,3,5
Ghost Swedish band,4768,17,0
Gin Blossoms,2327,3,5
Glenn Frey,2112,6,8
Godsmack,2678,12,22
Golden Earring,1134,8,1
Goo Goo Dolls,3265,4,8
Good Charlotte,3545,21,7
Grand Funk Railroad,2498,6,7
Grateful Dead,7022,14,25
Great White,3196,12,4
Green Day,8426,24,46
Greta Van Fleet,2179,9,2
Guns N Roses,9217,44,0
Halestorm,1818,8,21
Hall  Oates,4233,7,0
Harry Chapin,3100,2,4
Harry Nilsson,1869,14,13
Heart band,3211,20,0
Hermans Hermits,2335,5,0
Highly Suspect,1481,8,1
Hinder,2402,21,8
Hole band,4134,14,0
Hoobastank,2134,5,5
Hootie  the Blowfish,1698,4,0
Huey Lewis and the News,2300,4,3
INXS,2598,16,10
Ian Dury,2628,7,1
Icehouse band,2060,13,0
Iggy Pop,6346,20,28
Imagine Dragons,4106,11,5
Incubus band,5842,26,0
Interpol band,2756,6,0
Iron Maiden,11646,14,55
Jack White,4520,14,9
Jackson Browne,2950,20,13
James Blunt,3014,3,3
James Taylor,4616,10,15
Janes Addiction,5266,25,0
Janis Joplin,4568,12,14
Jeff Buckley,3568,20,12
Jefferson Airplane,5361,11,18
Jefferson Starship,2075,6,5
Jerry Lee Lewis,4943,10,19
Jet band,3144,8,0
Jethro Tull band,6751,18,0
Jim Croce,1772,0,1
Jimi Hendrix,11881,33,77
Jimmy Eat World,2517,10,12
Joan Jett,3867,15,11
Joe Cocker,2893,18,12
Joe Satriani,3063,17,11
Joe Walsh,4906,27,19
John Fogerty,2912,8,13
John Lennon,12878,16,71
John Mayall,2057,11,6
John Mayall  the Bluesbreakers,752,7,0
John Mayer,6404,12,11
John Mellencamp,7392,16,15
Journey band,5178,17,0
Joy Division,2838,14,23
Judas Priest,8403,29,46
Kaiser Chiefs,3100,6,4
Kaleo band,1534,5,0
Kansas band,3491,10,0
Keane band,4598,10,0
Kenny Loggins,2207,5,9
Kid Rock,3503,17,19
Killswitch Engage,3985,15,14
Kings of Leon,3378,11,8
Kiss band,11272,24,0
Korn,7185,27,39
Lacuna Coil,3117,9,10
Lamb of God band,1886,13,0
Led Zeppelin,7318,29,120
Lenny Kravitz,2829,19,11
Lifehouse band,2659,4,0
Limp Bizkit,6145,29,27
Linda Ronstadt,7386,27,16
Linkin Park,6276,35,32
Little Richard,9852,38,39
Little River Band,696,12,2
Live band,2067,9,0
Living Colour,2269,5,11
Lou Reed,4888,13,33
Loverboy,1483,10,5
Lynyrd Skynyrd,3569,14,22
Manfred Mann,943,3,11
Manfred Mann Chapter Three,294,2,5
Manfred Mann musician,916,4,0
Manfred Manns Earth Band,975,10,0
Marilyn Manson,7802,13,15
Marilyn Manson band,7545,26,0
Matchbox Twenty,2649,3,6
Meat Loaf,5145,14,8
Megadeth,9571,31,34
Melissa Etheridge,2237,7,3
Men at Work,1121,3,2
Metallica,9564,38,86
Michael Martin Murphey,3577,4,0
Midnight Oil,4214,23,8
Mike and the Mechanics,2223,3,1
Mitch Ryder,1114,8,3
Modest Mouse,2160,5,6
Montgomery Gentry,2652,5,0
Morrissey,10908,19,15
Motörhead,5492,20,25
Mudvayne,1422,11,7
Mumford  Sons,3571,8,0
Muse band,3974,15,0
My Chemical Romance,4881,30,19
Mötley Crüe,9999,28,46
Neil Young,10268,34,52
New York Dolls,3387,31,21
Nickelback,3815,26,25
Nine Inch Nails,8359,24,44
Nirvana band,4722,17,0
No Doubt,3451,10,15
Oasis band,6427,25,0
Our Lady Peace,2880,15,6
Ozzy Osbourne,8357,21,59
P.O.D.,1991,9,13
Panic at the Disco,4028,11,0
Pantera,5715,34,39
Papa Roach,4343,29,22
Paramore,4888,23,15
Parliament-Funkadelic,3107,5,4
Parliament band,287,4,0
Pat Benatar,4562,13,8
Paul McCartney,14118,28,68
Paul McCartney and Wings,3951,10,4
Pearl Jam,7122,26,61
Peter Frampton,2688,19,20
Peter Gabriel,7024,14,21
Phil Collins,9706,24,18
Pink Floyd,12167,13,65
Pixies band,3293,31,0
Poison band,3725,18,0
Pop Evil,2382,13,9
Primus band,4357,23,0
Puddle of Mudd,3646,22,14
Queen band,11931,42,0
Queens of the Stone Age,4956,19,16
Queensrÿche,4065,19,12
Quiet Riot,5190,17,18
R.E.M.,6312,18,25
REO Speedwagon,2014,7,18
Radiohead,6550,21,34
Rage Against the Machine,2539,25,35
Rainbow rock band,2659,4,0
Rammstein,8114,7,8
Ramones,6240,36,41
Ratt,3098,14,20
Red Hot Chili Peppers,7007,30,52
Ringo Starr,8888,19,35
Rise Against,4572,16,9
Ritchie Valens,2852,13,6
Rob Zombie,4973,16,17
Robert Plant,5442,15,29
Rock music,8852,169,293
Rod Stewart,6460,21,34
Roxy Music,3888,27,25
Roy Orbison,3921,31,20
Royal Blood band,1707,8,0
Run-DMC,3384,13,13
Rush band,8038,42,0
Saliva band,2952,10,0
Sam Fender,3671,26,1
Santana band,2086,6,0
Saving Abel,1312,8,6
Scorpions band,3599,13,0
Seether,3004,16,16
Sepultura,3799,22,20
Sex Pistols,7559,21,52
Shakin Stevens,1841,2,0
Sheryl Crow,4075,16,16
Shinedown,3003,18,21
Silverchair,3034,17,4
Simon  Garfunkel,3172,8,0
Simple Minds,5900,13,13
Simple Plan,3204,15,9
Sixto Rodriguez,2602,4,0
Skid Row American band,2710,12,0
Skillet band,4257,17,0
Slade,7358,33,14
Slayer,7737,22,40
Slipknot band,6202,27,0
Sly and the Family Stone,3286,10,9
Small Faces,2027,14,10
Smash Mouth,3277,16,1
Smokie band,2306,2,0
Snow Patrol,2671,7,5
Social Distortion,3138,16,11
Sonic Youth,3626,10,17
Soundgarden,6112,21,47
Staind,2456,30,21
Starset,2682,11,2
Starship band,1170,5,0
Status Quo band,2930,11,0
Steely Dan,3859,9,14
Steppenwolf band,1192,4,0
Steve Miller Band,1312,4,8
Steve Vai,6503,12,12
Steve Winwood,2273,15,17
Stevie Nicks,7445,18,21
Stevie Ray Vaughan,7970,17,10
Sting musician,5330,17,0
Stone Sour,1916,8,11
Stone Temple Pilots,4034,20,24
Styx band,4184,5,0
Sublime band,3318,10,0
Sublime with Rome,2263,3,3
Sum 41,3750,30,16
Supertramp,2917,4,7
Survivor band,4309,4,0
System of a Down,5081,23,25
T. Rex band,3044,14,0
Talking Heads,1730,12,25
Ted Nugent,5090,15,24
Ten Years After,1157,2,4
Tenacious D,5105,22,4
Tesla band,1925,6,0
The Alan Parsons Project,1010,5,6
The All-American Rejects,4070,12,6
The Allman Brothers Band,2884,13,13
The Animals,2348,6,18
The B-52s,3290,11,4
The Band,6164,23,18
The Bangles,2305,5,7
The Beach Boys,12148,23,48
The Beatles,14296,29,172
The Big Bopper,2421,4,5
The Black Crowes,2385,10,9
The Black Keys,4281,15,6
The Boxtones,335,6,0
The Byrds,7845,17,30
The Cab,1844,9,1
The Cardigans,1703,2,1
The Cars,1768,3,15
The Clash,4748,19,41
The Cranberries,3334,10,5
The Cult,5333,19,18
The Cure,5488,16,29
The Dave Clark Five,1197,8,3
The Doobie Brothers,6151,22,12
The Doors,5357,14,42
The Everly Brothers,3436,14,19
The Fixx,417,3,1
The Flaming Lips,6240,13,19
The Four Seasons band,6750,4,0
The Fray,3419,10,3
The Go-Gos,2195,8,0
The Guess Who,2826,1,7
The Hives,2039,3,4
The Hollies,2932,10,13
The J. Geils Band,2885,13,4
The Jam,2450,8,12
The Jesus and Mary Chain,4474,11,8
The Killers,5172,21,16
The Kinks,4629,19,31
The Lovin Spoonful,8398,19,0
The Lumineers,3022,12,2
The Mamas  the Papas,4188,7,0
The Marshall Tucker Band,3026,6,7
The Monkees,6907,9,24
The Moody Blues,4775,20,13
The Mothers of Invention,2826,10,5
The Offspring,3989,26,23
The Outfield,1234,6,1
The Police,4047,10,24
The Presidents of the United States of America band,1890,1,0
The Pretenders,1481,7,14
The Pretty Reckless,2142,24,3
The Rolling Stones,12000,31,123
The Script,2613,7,2
The Smashing Pumpkins,6411,34,38
The Smiths,5453,23,30
The Stone Roses,3145,13,5
The Strokes,4287,13,15
The Sweet,4472,22,11
The Tragically Hip,3703,8,6
The Used,2975,8,9
The Velvet Underground,5641,14,31
The Verve,2720,6,6
The White Stripes,6449,13,12
The Who,10060,32,88
The Yardbirds,3710,16,24
The Zombies,4521,9,3
Theory of a Deadman,1542,11,12
Thin Lizzy,6943,28,25
Third Eye Blind,3796,10,6
Thirty Seconds to Mars,3486,14,6
Thousand Foot Krutch,3137,6,4
Three Days Grace,4883,22,18
Three Dog Night,3329,4,5
Tom Petty,3675,25,26
Tom Petty and the Heartbreakers,2543,22,17
Tommy James and the Shondells,1714,2,1
Tool band,1614,22,0
Toto band,5359,14,0
Tracy Chapman,1532,3,3
Traffic band,928,8,0
Train band,3897,18,0
Traveling Wilburys,3035,14,6
Travis band,2719,7,0
Trivium band,4029,23,0
Twenty One Pilots,4774,9,4
Twisted Sister,3434,20,10
U2,10548,21,74
UB40,3691,5,0
Uriah Heep band,3314,12,0
Vampire Weekend,3437,9,1
Van Halen,7022,15,52
Van Morrison,10432,20,24
Van Zant duo,965,2,0
Velvet Revolver,2437,22,12
Volbeat,1754,14,10
W.A.S.P. band,2182,10,0
Warrant American band,1805,10,0
Weezer,6726,24,23
White Zombie band,1604,11,0
Whitesnake,7348,22,26
X Ambassadors,1830,6,1
X American band,2486,2,0
Yes band,6677,15,0
ZZ Top,3767,9,26
